title,price_idr,city,district,bedrooms,bathrooms,garage,land_size_m2,building_size_m2,scraped_at
Jual Rumah Mewah 2 Lantai Di Ancol Barat,12500000000.0,Jakarta Utara,Ancol,4,5,2,425,700,2026-04-28T07:31:19.207624+00:00
Rumah Modern Minimalis 4 Lantai 12 X22 Di Sunter Garden Hadap Utara,9250000000.0,Jakarta Utara,Sunter,7,6,4,240,1000,2026-04-28T07:31:22.892394+00:00
"Di Sunter Hijau, Dijual Rumah Hoek 219 M 2 Lantai",4500000000.0,Jakarta Utara,Sunter,4,3,2,219,252,2026-04-28T07:31:25.993784+00:00
"Sunter, Dijual Rumah 3,5 Lantaibagus Ddan Siap Huni,Hoek Selatan Barat",3000000000.0,Jakarta Utara,Sunter,8,5,2,120,300,2026-04-28T07:31:28.833247+00:00
"Gading Mediterania,Dijual Rmh 10X26,2 Lantai,Semi Furnished",13000000000.0,Jakarta Utara,Kelapa Gading,4,4,2,260,500,2026-04-28T07:31:31.674974+00:00
"Di Agung Utara Rumah 12X10.murah,3,5 Lantai",3400000000.0,Jakarta Utara,Sunter,8,4,2,120,300,2026-04-28T07:31:34.452953+00:00
Rumah Pluit Kencana 3 Lantai,6500000000.0,Jakarta Utara,Pluit,5,5,2,200,450,2026-04-28T07:31:37.383521+00:00
Dijual Brand New Rumah Sunter,3400000000.0,Jakarta Utara,Sunter,4,4,,90,270,2026-04-28T07:31:41.077486+00:00
"Jual Rumah di Pik Cluster Bgm Luas Tanah 195 M2, Posisi Hook Kondisi Bagus",11000000000.0,Jakarta Utara,Pantai Indah Kapuk,3,4,2,195,250,2026-04-28T07:31:43.958008+00:00
"Rumah 2 Lantai Termurah di Bawah NJOP - Karang Bolong, Ancol",6500000000.0,Jakarta Utara,Ancol,4,4,2,498,295,2026-04-28T07:31:46.599467+00:00
"Bukit Gdg Mediterania,316M,Bagus,Shm",14500000000.0,Jakarta Utara,Kelapa Gading,4,3,4,316,389,2026-04-28T07:31:49.691364+00:00
"Rumah Tua 2 Lantai SHM di Muara Karang, Jakarta Utara",2250000000.0,Jakarta Utara,Muara Karang,3,2,,90,90,2026-04-28T07:31:52.121209+00:00
Di Jual Rumah Siap Huni di Metro Marina Ancol Posisi Hook,4750000000.0,Jakarta Utara,Ancol,5,4,2,214,235,2026-04-28T07:31:54.545128+00:00
Di jual Rumah di metro Marina ancol,3500000000.0,Jakarta Utara,Ancol,4,3,2,120,240,2026-04-28T07:32:00.429516+00:00
Rumah Pinisi Indah 520M Mediterania Classic Style Rapi Siap Huni,25000000000.0,Jakarta Utara,Pantai Indah Kapuk,4,4,4,520,750,2026-04-28T07:32:02.966673+00:00
Dijual Cepat Rumah Sunter 2 Lantai,3750000000.0,Jakarta Utara,Sunter,3,3,4,154,165,2026-04-28T07:32:05.281575+00:00
Dijual Rumah Mewah Siap Huni di Grand Orchard Kelapa Gading Jakarta Utara,6500000000.0,Jakarta Utara,Kelapa Gading,4,3,2,210,300,2026-04-28T07:32:08.266736+00:00
Rumah 2 Lantai di Pluit Mas Jakarta Utara,4500000000.0,Jakarta Utara,Pluit,3,2,1,150,210,2026-04-28T07:32:11.246062+00:00
Rumah Pluit Modern Minimalis 3 Lantai Full Furnished Dekat Mall Emporium,8700000000.0,Jakarta Utara,Pluit,5,4,5,230,540,2026-04-28T07:32:13.938865+00:00
Rumah Pluit Kencana,7800000000.0,Jakarta Utara,Pluit,4,4,3,325,400,2026-04-28T07:32:17.207457+00:00
Rumah Layar Permai,2990000000.0,Jakarta Utara,Pantai Indah Kapuk,3,3,,90,144,2026-04-28T07:32:19.599739+00:00
Rumah Hitung Harga Tanah Kelapa Lilin Kelapa Gading Jak Ut,2900000000.0,Jakarta Utara,Kelapa Gading,3,1,2,136,136,2026-04-28T07:32:22.870506+00:00
Dijual Rumah di Concerto Beach Pik - Harga Nego,8500000000.0,Jakarta Utara,Pantai Indah Kapuk,4,4,3,200,297,2026-04-28T07:32:25.758534+00:00
Jual Murah Brand New Kelapa Puyuh Kelapa Gading Jak Ut,3500000000.0,Jakarta Utara,Kelapa Gading,4,3,2,160,160,2026-04-28T07:32:28.940687+00:00
Rumah 3 Lt Rapi Bersih Sunter Kirana Sunter Jak Ut,4500000000.0,Jakarta Utara,Sunter,6,6,3,160,300,2026-04-28T07:32:32.081658+00:00
Rumah Baru 2 Lantai Gading Griya Residence Klp Gading Jak Ut,1250000000.0,Jakarta Utara,Kelapa Gading,2,2,1,53,60,2026-04-28T07:32:35.427452+00:00
Rumah Classic Modern Mewah 4 LT Metro Sunter Jak Ut,15000000000.0,Jakarta Utara,Sunter,5,8,4,357,981,2026-04-28T07:32:39.009807+00:00
Dijual Rumah Golf Island Pik 10X25 Brand New bisa KPR,8800000000.0,Jakarta Utara,Golf Island,3,3,2,250,315,2026-04-28T07:32:42.371677+00:00
Dijual Rumah Cantik View Danau Brand New Hoek Pik 2 10X25 ( 13X25 ),14500000000.0,Jakarta Utara,Pantai Indah Kapuk 2,4,4,2,325,336,2026-04-28T07:32:45.426639+00:00
"Dijual Rumah Di Sunter Permai Jaya, Jakarta Utara",3600000000.0,Jakarta Utara,Sunter,4,2,1,157,157,2026-04-28T07:32:48.834619+00:00
Dijual Rumah Walet Permai Ukuran 7X25 Nego,4900000000.0,Jakarta Utara,Pantai Indah Kapuk,5,4,1,175,175,2026-04-28T07:32:52.104181+00:00
"Rumah Luas Di Janur Indah, Bebas Banjir, Harga Menarik",6700000000.0,Jakarta Utara,Kelapa Gading,5,5,2,220,220,2026-04-28T07:32:54.566166+00:00
Rumah Strategis di Kelapa Gading Jakarta Utara S7071,3900000000.0,Jakarta Utara,Kelapa Gading,8,4,,485,380,2026-04-28T07:32:56.393941+00:00
"Rumah Baru Harga Di Bawah Pasaran Blm Pernah Ditempati Sejak Awal Beli Rumah Bagus di Cluster Scarlet, Perumahan Pantai Indah Kapuk 2, Salembaran Jati, Kosambi, Tangerang, Banten, Indonesia, 15214, Pantai Indah Kapuk 2",1750000000.0,Jakarta Utara,Pantai Indah Kapuk 2,2,2,1,75,45,2026-04-28T07:33:03.258850+00:00
Rumah 2 Lantai Siap Huni Harga Mendekati NJOP Kelapa Gading S9654,6900000000.0,Jakarta Utara,Kelapa Gading,6,5,,413,360,2026-04-28T07:33:07.123386+00:00
"Sunter 4,5X15 Hadap Barata",1300000000.0,Jakarta Utara,Sunter,1,1,1,67,10,2026-04-28T07:33:10.113882+00:00
Kelapa Lilin Hitung Tanah Murah Hadap Timur,3300000000.0,Jakarta Utara,Kelapa Gading,3,2,1,160,100,2026-04-28T07:33:13.690440+00:00
Rumah Murah Sunter Agung Siap Huni 180M,3300000000.0,Jakarta Utara,Sunter,3,3,2,181,282,2026-04-28T07:33:17.141468+00:00
Dijual Rumah Mewah di Pik1 Luas 416M2 Full Furnish SHM 3Lantai,30000000000.0,Jakarta Utara,Pantai Indah Kapuk,4,5,4,416,600,2026-04-28T07:33:20.231165+00:00
Rumah Sunter Dalam Komplex 24 Jam,5500000000.0,Jakarta Utara,Sunter,4,2,1,180,200,2026-04-28T07:33:22.951308+00:00
"Kelapa Gading Nias Rumah Baru 8X15 3,5Lantai",3500000000.0,Jakarta Utara,Kelapa Gading,6,3,1,120,250,2026-04-28T07:33:25.647306+00:00
"Molek Siap Bangun Ulang Lebar 4,5M",1400000000.0,Jakarta Utara,Kelapa Gading,2,1,1,60,45,2026-04-28T07:33:27.976157+00:00
Brand New Gading Arcadia Siap Huni 6X18 Turun Harga,2800000000.0,Jakarta Utara,Kelapa Gading,2,3,2,,150,2026-04-28T07:33:31.444639+00:00
"Rumah Kelapa Gading 1 Lantai, SHM",2300000000.0,Jakarta Utara,Kelapa Gading,,,,102,70,2026-04-28T07:33:34.541294+00:00
"Rumah Pik Pantai Indah Kapuk, Luas 219M, Hoek",13000000000.0,Jakarta Utara,Pantai Indah Kapuk,5,5,,219,500,2026-04-28T07:33:37.844263+00:00
Rumah 2.5 lantai jln samudra oxford koja,3400000000.0,Jakarta Utara,Koja,6,4,2,255,260,2026-04-28T07:33:40.625638+00:00
Rumah 2 Lantai Sunter,2800000000.0,Jakarta Utara,Sunter,3,2,1,90,120,2026-04-28T07:33:44.173300+00:00
Dijual Rumah 2 Lantai Pluit Karang Permai Furnish,17200000000.0,Jakarta Utara,Pluit,6,5,,575,1100,2026-04-28T07:33:46.593385+00:00
Dijual Rumah 2 Lantai Garden House Pantai Indah Kapuk,9000000000.0,Jakarta Utara,Pantai Indah Kapuk,5,5,,195,300,2026-04-28T07:33:49.233450+00:00
"Dijual Cepat Rumah Lama, Kavling Saja Jakarta Utara",5900000000.0,Jakarta Utara,Pluit,2,1,1,240,200,2026-04-28T07:33:52.151091+00:00
Dijual Rumah Pantai Indah Kapuk Cluster Camar Siap Huni,4900000000.0,Jakarta Utara,Pantai Indah Kapuk,4,4,1,160,210,2026-04-28T07:33:55.959886+00:00
Jual Rumah Golf Island Chopin Signature Cluster Exclusive Aman Row Jalan Lebar,9300000000.0,Jakarta Utara,Golf Island,3,3,2,200,400,2026-04-28T07:33:58.338328+00:00
