title,price_idr,city,district,bedrooms,bathrooms,garage,land_size_m2,building_size_m2,status,loc_id,agent_id
Rumah Idaman Keluarga di Riviera Metland Puri - Strategis & Dekat Fasilitas,4500000000.0,jakarta barat,cengkareng,4.0,4.0,0.0,120.0,176.0,AVAILABLE,loc-401,agent-022
RUMAH DIJUAL JALAN SAIDI KEBAYORAN BARU JAKARTA SELATAN,11000000000.0,jakarta selatan,kebayoran baru,3.0,3.0,2.0,345.0,300.0,AVAILABLE,loc-103,agent-040
Dijual Segera Rumah Teluk Gong Penjaringan Jakarta Utara Hadap Utara Siap Huni Lokasi Rumah Strategis,2700000000.0,jakarta utara,penjaringan,4.0,3.0,1.0,90.0,200.0,AVAILABLE,loc-505,agent-010
"Rumah di Tebet Timur, Akses Jalan 3 Mobil Lebar",9200000000.0,jakarta selatan,tebet,6.0,5.0,4.0,264.0,350.0,AVAILABLE,loc-110,agent-014
Rumah Murah di Taman Alfa Indah Kebun Jeruk Joglo Jakarta Barat,2000000000.0,jakarta barat,kebon jeruk,3.0,3.0,2.0,144.0,120.0,AVAILABLE,loc-404,agent-027
Rumah Modern 4 Lantai Posisi Hook Semifurnish di Pik 1,4500000000.0,jakarta utara,penjaringan,2.0,2.0,3.0,84.0,248.0,AVAILABLE,loc-505,agent-011
Rumah Siap Huni Di Tebet Timur 2 Lt Hoek Akses Jalan Lebar 1 Mobil,5300000000.0,jakarta selatan,tebet,7.0,7.0,0.0,273.0,300.0,AVAILABLE,loc-110,agent-025
Rumah Baru 4X15 3 Lantai dengan Rooftop Duri Kepa Jakarta Barat,2250000000.0,jakarta barat,kebon jeruk,3.0,5.0,1.0,60.0,176.0,AVAILABLE,loc-404,agent-040
"Rumah Cocok Untuk Home Stay Di Menteng, Jakarta Pusat",95000000000.0,jakarta pusat,menteng,20.0,18.0,12.0,1270.0,1500.0,AVAILABLE,loc-305,agent-021
Rumah Brand New 3 Lantai Dijual Permata Buana Hadap Selatan 144M2,7200000000.0,jakarta barat,kembangan,4.0,4.0,3.0,144.0,345.0,AVAILABLE,loc-405,agent-047
Di Jual Rumah Murah di Utan Kayu Jakarta Timur,488000000.0,jakarta timur,matraman,2.0,2.0,0.0,25.0,38.0,AVAILABLE,loc-208,agent-039
Murah Turun Harga Rumah 9X19 Bebas Banjir Sangat Strategis Rawamangun Jakarta Timur,3600000000.0,jakarta timur,pulo gadung,4.0,4.0,1.0,171.0,250.0,AVAILABLE,loc-210,agent-038
Dijual Cepat Sampe Deal Rumah Dekat Rs Pertamina Cempaka Putih.,4500000000.0,jakarta timur,pulo gadung,7.0,3.0,2.0,235.0,300.0,AVAILABLE,loc-210,agent-013
Dijual Golf Island Symphony Bagus Murah,9500000000.0,jakarta utara,penjaringan,5.0,5.0,4.0,240.0,435.0,AVAILABLE,loc-505,agent-008
RUMAH DIJUAL DI MENTENG JAKARTA PUSAT DEKAT KE RS CIPTO,10000000000.0,jakarta pusat,menteng,6.0,4.0,0.0,374.0,374.0,AVAILABLE,loc-305,agent-036
"Rumah 2 Lantai Scandinavian di Cilandak, Desain Ala Apartement",1000000000.0,jakarta selatan,cilandak,2.0,2.0,1.0,40.0,64.0,SOLD,loc-101,agent-035
Rumah Brand New 2.5 LT Pinang Mas Pondok Indah,6250000000.0,jakarta selatan,kebayoran lama,5.0,4.0,1.0,122.0,200.0,AVAILABLE,loc-104,agent-021
"Di.jual Rumah Lokasi Prima,Harga Menarik Di.jalan Utama Duren Tiga Jakarta Selatan",19800000000.0,jakarta selatan,pancoran,5.0,4.0,6.0,657.0,500.0,AVAILABLE,loc-106,agent-017
"Rumah Bagus Strategis di Kramat Senen, Jakarta Pusat",10000000000.0,jakarta pusat,senen,6.0,4.0,0.0,495.0,495.0,AVAILABLE,loc-307,agent-010
Rumah New Muara Karang | 8X17 | Utara | Modern Klasik,4450000000.0,jakarta utara,penjaringan,5.0,4.0,2.0,136.0,215.0,AVAILABLE,loc-505,agent-040
Rumah 2 Lantai Hadap Selatan Dekat Pintu Tol di Meruya Selatan,2200000000.0,jakarta barat,kembangan,4.0,4.0,2.0,100.0,140.0,AVAILABLE,loc-405,agent-027
Rumah 2 Lantai di Bukit Podomoro Type Wynsor,5000000000.0,jakarta timur,duren sawit,4.0,2.0,3.0,105.0,138.0,AVAILABLE,loc-204,agent-011
"Murah, Puri Indah Hit Tanah",2900000000.0,jakarta barat,kembangan,2.0,1.0,1.0,120.0,90.0,AVAILABLE,loc-405,agent-026
Rumah Posisi Hoek di Cluster Amerika Latin Green Lake City Nego,5000000000.0,jakarta barat,cengkareng,4.0,3.0,1.0,270.0,360.0,AVAILABLE,loc-401,agent-047
Dijual Rumah Cocok Komersial Kebayoran Baru,27000000000.0,jakarta selatan,kebayoran baru,11.0,6.0,11.0,469.0,301.0,AVAILABLE,loc-103,agent-015
Rumah Nyaman Siap Huni 2 Lantai di Pulomas Jakarta S9252,3200000000.0,jakarta timur,pulo gadung,5.0,3.0,1.0,144.0,200.0,SOLD,loc-210,agent-028
Dijual Rumah Standard Komplek Janur Indah Uku 11X20 Strategis Utara Dekat Mall Mkg,5400000000.0,jakarta utara,kelapa gading,4.0,3.0,2.0,220.0,285.0,AVAILABLE,loc-502,agent-042
Rumah Murah Cideng Jauh Dibawah NJOP Akses 1 Mobil,5900000000.0,jakarta pusat,gambir,3.0,4.0,0.0,245.0,175.0,SOLD,loc-302,agent-007
Brand New House di Jagakarsa Dekat Toll Desari,2700000000.0,jakarta selatan,jagakarsa,3.0,2.0,1.0,110.0,137.0,AVAILABLE,loc-102,agent-009
"DIJUAL RUMAH at Jl SUREN, SENOPATI, KEBAYORAN BARU (JARANG ADA)",27500000000.0,jakarta selatan,kebayoran baru,4.0,4.0,0.0,375.0,280.0,AVAILABLE,loc-103,agent-010
Murah .. Rumah Siap Huni di Bintaro Jaya Sektor 2,2100000000.0,jakarta selatan,pesanggrahan,4.0,3.0,1.0,123.0,120.0,AVAILABLE,loc-108,agent-005
Jual Cepat Rumah Baru Dibawah 1.5M Lok Tanjung Duren Dekat Kampus,1450000000.0,jakarta barat,grogol petamburan,3.0,3.0,0.0,38.0,100.0,AVAILABLE,loc-402,agent-028
"Riviera Metland Unit Rapih,Siap Huni,Shm,Tinggal Bawa Koper",6500000000.0,jakarta barat,cengkareng,5.0,4.0,2.0,180.0,211.0,SOLD,loc-401,agent-038
Rumah Kawasan Elite Menteng 2Lt Hoek Ada Paviliun&Swimmingpool Th,60000000000.0,jakarta pusat,menteng,12.0,8.0,4.0,728.0,550.0,AVAILABLE,loc-305,agent-023
Rumah Hanya Hitung Tanah Dekat Rs Persahatan Rawamangun,22000000000.0,jakarta timur,pulo gadung,4.0,2.0,6.0,869.0,200.0,AVAILABLE,loc-210,agent-005
Jual Rumah Villa di Pejaten di Bawah Pasaran Bonus Rumah Mewah,31000000000.0,jakarta selatan,pasar minggu,8.0,6.0,4.0,1230.0,650.0,AVAILABLE,loc-107,agent-007
Dijual Rumah 1 Lantai di Karang Tengah Pinggir Jalan Cocok Usaha,3200000000.0,jakarta barat,cengkareng,7.0,5.0,3.0,440.0,300.0,AVAILABLE,loc-401,agent-022
Rumah Bagus di Muara Karang,6500000000.0,jakarta utara,penjaringan,4.0,4.0,2.0,150.0,350.0,AVAILABLE,loc-505,agent-041
"Rumah Mewah 6 Kamar Double High Ceiling 2 Lantai, Menteng Jakpus",99000000000.0,jakarta pusat,menteng,6.0,6.0,4.0,971.0,800.0,AVAILABLE,loc-305,agent-029
"Dijual Rumah 4 Lantai Exclusivedi Pulomas, Jakarta Timur",7500000000.0,jakarta timur,pulo gadung,4.0,4.0,0.0,145.0,450.0,AVAILABLE,loc-210,agent-003
