title,price_idr,city,district,bedrooms,bathrooms,garage,land_size_m2,building_size_m2,status,loc_id,agent_id
"Rumah Mewah Di Ancol Timur Dekat Dufan 10x25 Sangat Terawat, Jual Cepat",6000000000.0,jakarta utara,pademangan,3.0,3.0,3.0,250.0,350.0,AVAILABLE,loc-504,agent-011
Dijual Rumah Meruya Jakarta Barat 5X20 2M,2000000000.0,jakarta barat,kembangan,3.0,3.0,0.0,100.0,120.0,AVAILABLE,loc-405,agent-027
"Brand New Rumah Baru 4,5 Lantai di Rawamangun Cipinang Jak Tim",2900000000.0,jakarta timur,pulo gadung,5.0,4.0,2.0,75.0,260.0,AVAILABLE,loc-210,agent-042
Jual Cepat Bawah NJOP Gajah Mada Jakarta Pusat,5500000000.0,jakarta pusat,gambir,8.0,5.0,4.0,209.0,209.0,AVAILABLE,loc-302,agent-042
Dijual Super Cepat Rumah Taman Palem Lestari Rapi Siap Huni. Posisi Hook. Nego,5500000000.0,jakarta barat,cengkareng,8.0,5.0,2.0,252.0,453.0,AVAILABLE,loc-401,agent-032
"Rumah Dijual Murah, Luas 2 Lt. Pondok Kelapa, Jakarta Timur, SHM",3400000000.0,jakarta timur,duren sawit,5.0,4.0,2.0,263.0,262.0,SOLD,loc-204,agent-012
Rumah dng Paviliun Lokasi Strategis di Salemba Tengah - Jakarta Pusat,12700000000.0,jakarta pusat,senen,7.0,5.0,8.0,450.0,250.0,AVAILABLE,loc-307,agent-007
Rumah Full Furnished di Johar Baru Jakarta Pusat Lokasi Strategis,1150000000.0,jakarta pusat,johar baru,3.0,4.0,0.0,62.0,100.0,AVAILABLE,loc-303,agent-032
Jual Rumah Kantor Tempat Usaha Kebayorab Baru Senopati Area,24000000000.0,jakarta selatan,kebayoran baru,3.0,2.0,2.0,393.0,366.0,SOLD,loc-103,agent-024
Dijual Cepat Rumah Bagus 3Br. Ciepete. Dekat Fatmawati Lokasi Strategis,7100000000.0,jakarta selatan,cilandak,5.0,4.0,4.0,235.0,350.0,AVAILABLE,loc-101,agent-036
Dijual Muraahhh !!! Rumah Luas di Cempaka Putih Timur,3900000000.0,jakarta pusat,cempaka putih,5.0,4.0,2.0,226.0,250.0,AVAILABLE,loc-301,agent-047
Dijual Rumah Siap Huni Jakarta Garden City @ Cluster Alamanda,2300000000.0,jakarta timur,cakung,4.0,4.0,1.0,120.0,123.0,AVAILABLE,loc-201,agent-045
Dijual Cepat Rumah Cempaka Putih Barat Lebar 10,3500000000.0,jakarta pusat,cempaka putih,9.0,6.0,2.0,198.0,398.0,AVAILABLE,loc-301,agent-003
Chandra Rumah Lama Ukuran 4X20m di Jelambar,1150000000.0,jakarta barat,grogol petamburan,1.0,1.0,0.0,80.0,60.0,AVAILABLE,loc-402,agent-033
Dijual Rumah Dalam Komplek Lokasi 5 Menit Pintu Ciledug Bebas Banjir Lokasi Petukangan Selatan,1800000000.0,jakarta selatan,pesanggrahan,3.0,2.0,2.0,120.0,80.0,AVAILABLE,loc-108,agent-002
Rumah Baru 4 Lantai di Cilandak By Emporio Arsitek Dekat Tol KRL,4000000000.0,jakarta selatan,cilandak,5.0,5.0,2.0,169.0,340.0,AVAILABLE,loc-101,agent-047
Rumah Bagus 3 Lantai Furnished di Sunter,2600000000.0,jakarta utara,tanjung priok,5.0,3.0,0.0,115.0,270.0,AVAILABLE,loc-506,agent-015
"Rumah Kemang Jakarta Selatan, Luas 787 Sqm, 2 Lantai, Kolam Renang",24000000000.0,jakarta selatan,mampang prapatan,8.0,8.0,8.0,787.0,600.0,AVAILABLE,loc-105,agent-027
Taman Palem Lestari Blok A Danamon 2 Lantai Siap Huni,1650000000.0,jakarta barat,cengkareng,4.0,2.0,3.0,90.0,90.0,AVAILABLE,loc-401,agent-049
KPR Rumah Mewah Salemba Jakarta Pusat,2800000000.0,jakarta pusat,cempaka putih,4.0,4.0,2.0,92.0,172.0,AVAILABLE,loc-301,agent-034
Rumah Nyaman Murah Cijantung Jakarta Timur,825000000.0,jakarta timur,pasar rebo,3.0,2.0,0.0,67.0,60.0,AVAILABLE,loc-209,agent-018
"Jual Paling Murah Town House at Verde Kuningan Luas 220sqm,harga 725M nego",7250000000.0,jakarta selatan,setiabudi,2.0,2.0,0.0,220.0,220.0,SOLD,loc-109,agent-027
Rumah Bagus Sunter Siap Huni Luas 200,5500000000.0,jakarta utara,tanjung priok,5.0,5.0,2.0,200.0,300.0,AVAILABLE,loc-506,agent-028
Dijual Cepat Rumah Asri dan Tenang di Gunung Sahari Utara 113 m2,2350000000.0,jakarta pusat,sawah besar,3.0,1.0,1.0,113.0,96.0,AVAILABLE,loc-306,agent-040
Pondok Indah ~ Lt/Lb 357/325 ~ Brand New House,18500000000.0,jakarta selatan,kebayoran lama,6.0,4.0,3.0,357.0,325.0,AVAILABLE,loc-104,agent-044
Rumah Baru Minimalis Modern 2lt Di Gunung Sahari Kemayoran Jak-pus,1650000000.0,jakarta pusat,kemayoran,2.0,3.0,2.0,56.0,164.0,AVAILABLE,loc-304,agent-038
Dijual Cepat Rumah Mewah Citra 8 Jakarta Barat,4700000000.0,jakarta barat,kalideres,5.0,4.0,2.0,120.0,200.0,AVAILABLE,loc-403,agent-002
Rumah Taman Grisenda Pik 1 Bagus 2 Lantai Siap Huni Shm,6300000000.0,jakarta utara,penjaringan,5.0,5.0,1.0,200.0,300.0,AVAILABLE,loc-505,agent-039
Rumah Mewah Newly Renovated Siap Huni di Menteng,18000000000.0,jakarta pusat,menteng,3.0,3.0,0.0,222.0,345.0,AVAILABLE,loc-305,agent-030
Dijual Rumah Petojo. Jual Harga NJOP. Murah,2500000000.0,jakarta pusat,gambir,3.0,2.0,4.0,178.0,80.0,SOLD,loc-302,agent-008
Dipasarkan Rumah Baru di Lokasi Strategis Jakarta Timur,1190000000.0,jakarta timur,pulo gadung,3.0,2.0,1.0,36.0,60.0,AVAILABLE,loc-210,agent-039
Dijual Rumah Baru Renovasi Berlokasi Strategis Dekat Stasiun Cakung,3000000000.0,jakarta timur,cakung,5.0,4.0,0.0,200.0,200.0,SOLD,loc-201,agent-048
Rumah Cempaka Putih Dekat Kfc Sangat Strategis,10000000000.0,jakarta pusat,cempaka putih,7.0,3.0,0.0,450.0,500.0,SOLD,loc-301,agent-049
Rumah Percetakan Negara,4500000000.0,jakarta pusat,johar baru,5.0,6.0,1.0,200.0,300.0,AVAILABLE,loc-303,agent-049
Rumah Minimalis Sunter Bisma Metro Paradise Sunter Garden Agung Perkasa Hadap Taman Murah,4500000000.0,jakarta utara,tanjung priok,5.0,4.0,2.0,140.0,250.0,SOLD,loc-506,agent-004
"Rumah Citra Garden. 5X12, 2 Lantai, 2 Kamar Tidur",1900000000.0,jakarta barat,kalideres,3.0,3.0,1.0,60.0,75.0,AVAILABLE,loc-403,agent-044
Rumah Siap Huni Cengkir Barat Bagus Jalanan Lega,3300000000.0,jakarta utara,kelapa gading,5.0,4.0,2.0,120.0,192.0,AVAILABLE,loc-502,agent-024
Dijual Cepat Rumah Hitung Tanah. Sangat Cocok Juga Untuk Dibangun Kembali. Terletak Di Dalam Komplek Kelapa Gading,1500000000.0,jakarta utara,kelapa gading,3.0,2.0,2.0,90.0,70.0,SOLD,loc-502,agent-030
Green Garden,1950000000.0,jakarta barat,kebon jeruk,4.0,3.0,4.0,96.0,196.0,SOLD,loc-404,agent-044
Rumah Sunter Agung Minimalis Rumah Sunter Sts Sunter Garden Agung Permai Agung Jaya Metro,7250000000.0,jakarta utara,tanjung priok,5.0,5.0,3.0,242.0,500.0,SOLD,loc-506,agent-024
Di Jual Rumah Menteng Lokasi Eksklusif,50000000000.0,jakarta pusat,menteng,7.0,8.0,6.0,733.0,548.0,AVAILABLE,loc-305,agent-045
Dijual Cepat Rh Pik 14Lt Siap Huni Jak-Ut,23000000000.0,jakarta utara,penjaringan,8.0,6.0,0.0,412.0,1200.0,AVAILABLE,loc-505,agent-026
Dijual Cepat Rumah Premium di Green Lake City Cluster Asia,4500000000.0,jakarta barat,cengkareng,5.0,4.0,2.0,120.0,148.0,AVAILABLE,loc-401,agent-022
Di Jual Rumah Baru Dalam Komplek Harga Super Murah Di Curug Pondok Kelapa Bagus,1280000000.0,jakarta timur,duren sawit,3.0,3.0,1.0,48.0,80.0,AVAILABLE,loc-204,agent-050
Rumah Dijual Di Petojo,12300000000.0,jakarta pusat,gambir,4.0,4.0,3.0,362.0,441.0,AVAILABLE,loc-302,agent-036
"Rumah Cantik Minimalis 1,5 Lantai Dalam Kompleks Di Sunter Jakut",3300000000.0,jakarta utara,tanjung priok,5.0,4.0,0.0,144.0,160.0,AVAILABLE,loc-506,agent-006
Rumah Sherwood Garden Bagus,5250000000.0,jakarta utara,kelapa gading,6.0,5.0,2.0,120.0,350.0,AVAILABLE,loc-502,agent-023
"Jual* *Rumah Baru Jak - Sel American Classic* *Turun Harga* Dari Rp.14,5 M Jadi *Harga Rp.13,5 M*",13500000000.0,jakarta selatan,cilandak,5.0,4.0,0.0,515.0,400.0,AVAILABLE,loc-101,agent-035
Rumah Hook 2 Lantai Intercon Kebon Jeruk Bebas Banjir - LT 450M2,10900000000.0,jakarta barat,kembangan,6.0,5.0,4.0,450.0,480.0,AVAILABLE,loc-405,agent-021
"Dijual Rumah Hoek Mewah Di Komplek Taman Berdikari Sentosa, Siap Huni!",15000000000.0,jakarta timur,pulo gadung,8.0,6.0,4.0,557.0,420.0,SOLD,loc-210,agent-015
Rumah Bagus Luas Bintaro Siap Huni Open Request Full Furnished,5300000000.0,jakarta selatan,pesanggrahan,6.0,5.0,4.0,277.0,500.0,AVAILABLE,loc-108,agent-006
TOWN HOUSE EXCLUSIVE PEJATEN INDAH HANYA 14 RUMAH,13000000000.0,jakarta selatan,pasar minggu,7.0,5.0,5.0,480.0,380.0,AVAILABLE,loc-107,agent-008
"Rumah Minimalis The Bukit, Termurah.turun Harga. Ancol Barat.",4200000000.0,jakarta utara,pademangan,5.0,5.0,3.0,162.0,351.0,AVAILABLE,loc-504,agent-037
Dijual Rumah Pik 1 Mayang Permai Pinisi SHM Hadap Selatan.,6500000000.0,jakarta utara,penjaringan,6.0,6.0,2.0,150.0,400.0,SOLD,loc-505,agent-032
"Rumah Standar, Hitung Tanah, Masih Layak Pakai, bisa KPR, Sunter",2350000000.0,jakarta utara,tanjung priok,4.0,2.0,2.0,144.0,144.0,AVAILABLE,loc-506,agent-028
"Rumah di Menteng Jarang Ada, Daerah Tenang",20000000000.0,jakarta pusat,menteng,5.0,5.0,0.0,309.0,211.0,AVAILABLE,loc-305,agent-012
Jual Rumah Di Jl Pinang Raya Pondok Labu Cilandak Jaksel,6700000000.0,jakarta selatan,cilandak,4.0,3.0,2.0,250.0,365.0,SOLD,loc-101,agent-032
Rumah Brand New 2 Lantai Start 900Jt-An Neora @Metland Menteng Cakung,900000000.0,jakarta timur,cakung,2.0,2.0,1.0,55.0,54.0,AVAILABLE,loc-201,agent-010
Cash & KPR - Rumah Pik 2 Kuningan Village [10X20m],7400000000.0,jakarta utara,penjaringan,4.0,3.0,2.0,200.0,250.0,AVAILABLE,loc-505,agent-008
Luxurious House At Senayan Area Luas 1026M2 With Backyard Pool,77000000000.0,jakarta selatan,kebayoran baru,9.0,6.0,14.0,1026.0,750.0,AVAILABLE,loc-103,agent-029
Dijual Paling Murah Harga Nego Rumah Baru Bangun ( 4X15 ) Teluk Gong - Penjaringan,1700000000.0,jakarta utara,penjaringan,3.0,2.0,1.0,60.0,142.0,SOLD,loc-505,agent-047
Dijual Cepat Rumah di Kawasan Kemayoran,950000000.0,jakarta pusat,kemayoran,3.0,1.0,0.0,94.0,80.0,AVAILABLE,loc-304,agent-048
"Dijual Rumah Pondok Kelapa,Duren Sawit Jakarta Timur 2 Lantai",3700000000.0,jakarta timur,duren sawit,7.0,3.0,3.0,230.0,200.0,AVAILABLE,loc-204,agent-013
Rumah Modern Tropis Privet Pool Lift di Taman Cilandak Belakang MRT Fatmawati Jakarta Selatan,17500000000.0,jakarta selatan,cilandak,5.0,4.0,14.0,1014.0,800.0,AVAILABLE,loc-101,agent-002
Rumah Taman Surya 3 (8X18m),3000000000.0,jakarta barat,kalideres,1.0,2.0,0.0,144.0,224.0,SOLD,loc-403,agent-030
Rumah Siap Huni di Taman Kebon Jeruk Intercon Jakarta Barat,3800000000.0,jakarta barat,kembangan,4.0,4.0,2.0,144.0,250.0,AVAILABLE,loc-405,agent-023
Rumah 2 Lantai di Cipete Jakarta Selatan Dekat Stasiun MRT,19500000000.0,jakarta selatan,cilandak,5.0,5.0,10.0,752.0,400.0,SOLD,loc-101,agent-029
Rumah Mewah Gunung Sahari Ada Kolam Renang & Ruang Aula,9700000000.0,jakarta pusat,kemayoran,6.0,7.0,3.0,280.0,420.0,AVAILABLE,loc-304,agent-017
Petojo Rumah Lama Kondisi Baik Akses Mudah,10500000000.0,jakarta pusat,gambir,4.0,3.0,3.0,305.0,280.0,AVAILABLE,loc-302,agent-043
RUMAH DIJUAL KEMAYORAN,2500000000.0,jakarta pusat,kemayoran,3.0,2.0,1.0,70.0,175.0,AVAILABLE,loc-304,agent-049
"Rumah Siap Huni 2 Lantai di Tebet , Bangunan 2024",3900000000.0,jakarta selatan,tebet,6.0,5.0,1.0,153.0,200.0,AVAILABLE,loc-110,agent-015
Dijual Rumah Bagus Siap Huni Murah Akses 1Mobil Lokasi Tebet Barat,2600000000.0,jakarta selatan,tebet,2.0,1.0,2.0,90.0,60.0,AVAILABLE,loc-110,agent-016
- Murah !! Dijual Rumah Siap Huni 12X20 Jalan 3 Mobil di Janur Kuning Hadap Utara,7500000000.0,jakarta utara,kelapa gading,5.0,4.0,2.0,240.0,280.0,AVAILABLE,loc-502,agent-030
Dijual Rumah Murah di Setu Cipayung Jakarta Timur,750000000.0,jakarta timur,cipayung,2.0,1.0,2.0,69.0,45.0,SOLD,loc-202,agent-043
"Rumah Baru 5 Menit Dari Mkg 2 Lantai Gading Griya, Siap Huni Bisa Kpr",1720000000.0,jakarta utara,kelapa gading,3.0,2.0,1.0,75.0,90.0,AVAILABLE,loc-502,agent-048
Dijual Rumah Terstrategis di Johar Jakarta Pusat,2900000000.0,jakarta pusat,johar baru,3.0,2.0,0.0,180.0,180.0,AVAILABLE,loc-303,agent-033
"Dijual Rumah Meruya Jakarta Barat 5X20 2,2M",2200000000.0,jakarta barat,kembangan,3.0,3.0,0.0,100.0,120.0,AVAILABLE,loc-405,agent-042
Jual Cepat Siap Nego 4Br Citra Graden Puri Elecio [ C1 ],2700000000.0,jakarta barat,kembangan,4.0,3.0,1.0,105.0,98.0,AVAILABLE,loc-405,agent-034
"Rumah 6X13 - Jl. Pulo Kenanga, Jakarta Selatan Siap Huni",2200000000.0,jakarta selatan,kebayoran lama,3.0,2.0,1.0,78.0,120.0,AVAILABLE,loc-104,agent-044
Rumah Di.jual.di Kemanggisan. Dekat Perkantoran.,19000000000.0,jakarta barat,palmerah,10.0,9.0,4.0,1011.0,462.0,AVAILABLE,loc-406,agent-036
Rumah 8x18 Bagus Siap Huni 3lantai Komplek Dekat Tanjung Duren Jakarta Barat,2850000000.0,jakarta barat,kebon jeruk,5.0,4.0,2.0,144.0,312.0,AVAILABLE,loc-404,agent-012
Di Jual Rumah Baru di Percetakan Negara Dekat Bpom,1470000000.0,jakarta pusat,cempaka putih,3.0,2.0,2.0,43.0,75.0,AVAILABLE,loc-301,agent-028
Dijual Rumah Hoek 2Lt Garden House Pantai Indah Kapuk,9500000000.0,jakarta utara,penjaringan,4.0,3.0,2.0,195.0,300.0,SOLD,loc-505,agent-008
Rumah Type Classic Permata Hijau Jakarta Selatan,19000000000.0,jakarta selatan,kebayoran lama,6.0,6.0,6.0,516.0,544.0,AVAILABLE,loc-104,agent-027
Rumah Permata Buana Puri 2Lt Negoo Abissszz,4300000000.0,jakarta barat,kembangan,4.0,3.0,1.0,144.0,225.0,AVAILABLE,loc-405,agent-035
"Rumah di Tebet Barat, Akses Jalan 2 Mobil, Siap Huni Dekat Taman Ecopark",5250000000.0,jakarta selatan,tebet,5.0,5.0,2.0,130.0,200.0,AVAILABLE,loc-110,agent-026
Rumah di Pondok Indah Jakarta Selatan Jalan Besar Lingkungan Asri SHM,16000000000.0,jakarta selatan,kebayoran lama,5.0,4.0,3.0,394.0,300.0,SOLD,loc-104,agent-019
Dijual Rumah Hunian Modern Tipe L8 di Cluster Mississippi - Desain Elegan & Ruang Maksimal! Hanya 1.7M!,1700000000.0,jakarta timur,cakung,4.0,4.0,1.0,112.0,90.0,AVAILABLE,loc-201,agent-043
"Rumah Dijual di Cilandak, Belakang Citos",5900000000.0,jakarta selatan,cilandak,6.0,4.0,1.0,301.0,200.0,AVAILABLE,loc-101,agent-029
Rumah 2 Lantai (Cluster Exclusive) di Cengkareng,800000000.0,jakarta barat,cengkareng,2.0,2.0,1.0,39.0,65.0,AVAILABLE,loc-401,agent-016
Dijual Townhouse Mewah 4 Lantai Turun Harga di Pondok Indah,7500000000.0,jakarta selatan,kebayoran lama,5.0,5.0,3.0,146.0,373.0,AVAILABLE,loc-104,agent-049
Cluster Terbaik Citra Homes Halim Dekat Bandara Hali,1670000000.0,jakarta timur,makasar,3.0,2.0,2.0,72.0,60.0,SOLD,loc-207,agent-014
Rumah Brand New 3 Lantai Dijual Tanjung Duren Hadap Utara - 52M2,2050000000.0,jakarta barat,grogol petamburan,4.0,3.0,2.0,52.0,108.0,AVAILABLE,loc-402,agent-044
"Rumah Bagus Dijual Di Sunter 1,5 Lt.shm Lokasi Strtegis",3500000000.0,jakarta utara,tanjung priok,3.0,3.0,2.0,160.0,200.0,AVAILABLE,loc-506,agent-050
Rumah Brand New 3 Lantai Semi Furnish Siap Huni di Duri Kepa,3500000000.0,jakarta barat,kebon jeruk,6.0,5.0,2.0,90.0,180.0,SOLD,loc-404,agent-041
Rumah Bagus di Metland Cakung,1850000000.0,jakarta timur,cakung,2.0,2.0,2.0,96.0,100.0,AVAILABLE,loc-201,agent-008
Rumah di Dalam Komplek Bukit Golf Pondok Indah Luas 1430M2,99900000000.0,jakarta selatan,kebayoran lama,8.0,8.0,9.0,1430.0,1220.0,AVAILABLE,loc-104,agent-029
Rumah Dijual di Pinggir Jalan Raya Jakarta Pusat,20000000000.0,jakarta pusat,tanah abang,5.0,5.0,3.0,368.0,249.0,AVAILABLE,loc-308,agent-020
Dijual rumah bagus minimalis lokasi strategis Taman Villa Meruya - Jakarta Barat,7500000000.0,jakarta barat,kembangan,5.0,4.0,0.0,351.0,450.0,AVAILABLE,loc-405,agent-007
*Turun Harga Dratastis* di Jual Rumah Mewah (Siap Huni/Fully Furnished ) di Tanah Abang Jakarta Pusat,24000000000.0,jakarta pusat,tanah abang,5.0,3.0,3.0,585.0,501.0,AVAILABLE,loc-308,agent-039
Dijual Rumah Daerah Meruya,3700000000.0,jakarta barat,kembangan,5.0,4.0,0.0,128.0,384.0,AVAILABLE,loc-405,agent-047
Rumah Mewah Siap Huni Ada Pool di Cilandak Kko,8900000000.0,jakarta selatan,cilandak,6.0,6.0,4.0,370.0,400.0,SOLD,loc-101,agent-037
"Rumah Green Lake City, West Europe 6X15, 3Br, SHM, Utara, Hrg 2.5 Milyar",2500000000.0,jakarta barat,cengkareng,4.0,4.0,2.0,90.0,130.0,AVAILABLE,loc-401,agent-036
Dijual Rumah Pondok Kelapa Billy Moon Jakarta Timur,3750000000.0,jakarta timur,duren sawit,4.0,4.0,2.0,252.0,220.0,SOLD,loc-204,agent-048
Dijual Rumah 2 Lantai di Duren Sawit Jakarta Timur,2500000000.0,jakarta timur,duren sawit,6.0,2.0,2.0,157.0,150.0,AVAILABLE,loc-204,agent-028
"Cicil 174 Juta atau 16,1M Rumah 13X25 Peninsula Residence Depan Pantai Pasir Putih Pik2",174000000.0,jakarta utara,penjaringan,5.0,5.0,4.0,325.0,356.0,AVAILABLE,loc-505,agent-012
"Turun Harga! Rumah Brand New Semi Furnished Cilandak LT 515M², Harga 12.8 M",12800000000.0,jakarta selatan,cilandak,4.0,4.0,4.0,515.0,400.0,AVAILABLE,loc-101,agent-030
Dijual Cepat Rumah Hook Harga Dibawah NJOP di Komplek Pejaten Pancoran Jakarta Selatan,1500000000.0,jakarta selatan,pancoran,4.0,3.0,0.0,178.0,130.0,SOLD,loc-106,agent-011
"Dijual Rumah Di Kelapa Nias, Kelapa Gading, Jakarta Utara.",3240000000.0,jakarta utara,kelapa gading,5.0,4.0,0.0,120.0,200.0,AVAILABLE,loc-502,agent-046
Di Jual Rmh Modern di Petojo Selatan Siap Huni,3500000000.0,jakarta pusat,gambir,3.0,2.0,2.0,150.0,210.0,SOLD,loc-302,agent-032
Rumah Menteng Siap Huni Dekat Jl Diponegoro,58000000000.0,jakarta pusat,menteng,5.0,1.0,0.0,717.0,1200.0,AVAILABLE,loc-305,agent-005
Dijual Rumah Huni dan Kostan di Cempaka Putih,8800000000.0,jakarta pusat,cempaka putih,7.0,5.0,5.0,360.0,600.0,AVAILABLE,loc-301,agent-042
Rumah Minimalis Baru di Sunter,4300000000.0,jakarta utara,tanjung priok,4.0,3.0,0.0,126.0,300.0,AVAILABLE,loc-506,agent-014
Rumah 2 Lantai Dijual Duri Kepa - LT 535M2d,5500000000.0,jakarta barat,kebon jeruk,6.0,6.0,3.0,535.0,410.0,AVAILABLE,loc-404,agent-018
"Dijual Rumah Jl Kali Baru Timur,Jkt Pus",1300000000.0,jakarta pusat,senen,2.0,2.0,0.0,125.0,100.0,AVAILABLE,loc-307,agent-023
Rumah Mewah Siap Huni Bebas Banjir SHM di Komplek Abadi Jakarta Timur Duren Sawit,4200000000.0,jakarta timur,duren sawit,4.0,5.0,2.0,174.0,300.0,AVAILABLE,loc-204,agent-042
Dijual Rumah Mewah 3 Lantai Kondisi Baru di Metland Menteng Jakarta Best Deal!,6800000000.0,jakarta timur,cakung,5.0,6.0,4.0,160.0,215.0,AVAILABLE,loc-201,agent-007
Bisa KPR Rumah Golf Island Pik 5X15 (3 Lantai),3000000000.0,jakarta utara,penjaringan,4.0,4.0,2.0,75.0,133.0,AVAILABLE,loc-505,agent-028
Dijual Cepat !! Rumah Asri Siap Huni Area Kramat Akses Jalan 2 Mobil Lebar,9000000000.0,jakarta pusat,senen,6.0,3.0,2.0,300.0,150.0,AVAILABLE,loc-307,agent-026
Rumah Bagus Siap Huni bisa Usaha di Johar Baru Jakarta Pusat,3600000000.0,jakarta pusat,johar baru,6.0,5.0,0.0,175.0,250.0,AVAILABLE,loc-303,agent-029
Rumah Hook Paling Murah Terawat di Citra Garden Jakarta Barat,3300000000.0,jakarta barat,kalideres,3.0,3.0,3.0,100.0,133.0,AVAILABLE,loc-403,agent-043
Di Jual Rumah Intercon Blok Favorite Ada Kolam Termewah Rapi Siap Huni,69000000000.0,jakarta barat,kembangan,7.0,1.0,0.0,2593.0,2237.0,AVAILABLE,loc-405,agent-014
Dijual Murah Rumah 2 LT Dlm Kav Dki Pdk Kelapa Duren Sawit Jaktim,2350000000.0,jakarta timur,duren sawit,4.0,2.0,2.0,157.0,250.0,AVAILABLE,loc-204,agent-031
DIJUAL RUMAH KOST FURNISHED JATINEGARA 15 KAMAR JAKARTA TIMUR DEKAT STASIUN KRL,3100000000.0,jakarta timur,jatinegara,15.0,8.0,1.0,77.0,310.0,AVAILABLE,loc-205,agent-049
Chandra Rumah Bagus Ukuran 4.65X16m di Komplek Kavling Polri Jelambar,3300000000.0,jakarta barat,grogol petamburan,3.0,4.0,0.0,74.0,142.0,AVAILABLE,loc-402,agent-049
"Rumah di Sumur Batu Kemayoran - Bangunan 2,5 Lantai",2000000000.0,jakarta pusat,kemayoran,5.0,5.0,1.0,75.0,135.0,AVAILABLE,loc-304,agent-049
Rumah Tua Hitung Tanah Sunter,20500000000.0,jakarta utara,tanjung priok,6.0,6.0,7.0,748.0,680.0,AVAILABLE,loc-506,agent-050
Harus Terjual Rumah Standar Butuh Renovasi Di Cipinang Muara,1500000000.0,jakarta timur,pulo gadung,4.0,2.0,1.0,106.0,84.0,SOLD,loc-210,agent-031
Cempaka Putih Timur Luas 415 Dgn Halaman Sangat Luas,9000000000.0,jakarta pusat,cempaka putih,4.0,6.0,5.0,415.0,500.0,AVAILABLE,loc-301,agent-027
Rumah Menteng 519M²,38000000000.0,jakarta pusat,menteng,7.0,6.0,4.0,519.0,470.0,AVAILABLE,loc-305,agent-007
Dibawah Njop!!! Rumah Di Cideng,6000000000.0,jakarta pusat,gambir,5.0,3.0,1.0,247.0,145.0,AVAILABLE,loc-302,agent-008
"Rumah Murah Bawah Pasar di Cipinang Indah 1 ,Jakarta",1950000000.0,jakarta timur,pulo gadung,3.0,2.0,2.0,148.0,155.0,AVAILABLE,loc-210,agent-041
"Rumah Kos 63 Kamar Occ 90%,Di Tanjung Duren Jakarta Barat S8972",12000000000.0,jakarta barat,grogol petamburan,64.0,64.0,0.0,284.0,1000.0,SOLD,loc-402,agent-039
"JARANG ADA RUMAH DIATAS MALL, THE VILLAS HARGA TERBAIK",4500000000.0,jakarta utara,kelapa gading,5.0,4.0,0.0,150.0,242.0,AVAILABLE,loc-502,agent-018
Rumah Kost D Ikali Baru Timur Poncol Senen di Bawah NJOP,1350000000.0,jakarta pusat,senen,17.0,11.0,0.0,124.0,170.0,AVAILABLE,loc-307,agent-034
Dijual Rumah di Griya Inti Sentosa Sunter,7000000000.0,jakarta utara,tanjung priok,4.0,3.0,0.0,185.0,250.0,AVAILABLE,loc-506,agent-019
Rumah di Percetakan Negara Jakarta Pusat,6500000000.0,jakarta pusat,johar baru,5.0,3.0,2.0,306.0,280.0,SOLD,loc-303,agent-046
"Rumah Lama di Jual Murah Area Petukangan, Pesanggrahan, Jaksel",2500000000.0,jakarta selatan,pesanggrahan,5.0,3.0,1.0,268.0,180.0,AVAILABLE,loc-108,agent-015
Rumah Brand New Hoek Metland Puri. @Metland Puri. Jakarta Barat,4000000000.0,jakarta barat,cengkareng,3.0,3.0,2.0,127.0,330.0,AVAILABLE,loc-401,agent-009
Rumah Dijual Duri Kepa Hook Hitung Tanah - LT 165M2,2700000000.0,jakarta barat,kebon jeruk,3.0,3.0,1.0,165.0,200.0,AVAILABLE,loc-404,agent-007
Rumah 2 Lantai Green Lake City Sudah Renovasi Jual Cepat!!,3650000000.0,jakarta barat,cengkareng,4.0,3.0,2.0,120.0,160.0,SOLD,loc-401,agent-036
"Termurah di Pik 1, Walet Permai 3 Lantai 340M Huk, Hitung Tanah Saja",8500000000.0,jakarta utara,penjaringan,4.0,4.0,5.0,340.0,590.0,AVAILABLE,loc-505,agent-005
Best Price - Rumah LT 260 M² di Pondok Bambu Duren Sawit,3200000000.0,jakarta timur,duren sawit,6.0,4.0,1.0,260.0,248.0,AVAILABLE,loc-204,agent-011
Rumah Modern Mewah One Gate System Di Cempaka Putih Tengah,7200000000.0,jakarta pusat,cempaka putih,6.0,5.0,0.0,180.0,250.0,SOLD,loc-301,agent-047
"Dijual Murah Rumah di Jgc, Jakarta Garden Citycluster Shinano Luas 185 M², Cakung Jakarta Timur",2150000000.0,jakarta timur,cakung,3.0,3.0,1.0,185.0,156.0,SOLD,loc-201,agent-021
Rumah Golf Island Pik Mozart View Laut 12X25 (3+1 Kamar Tidur),13400000000.0,jakarta utara,penjaringan,4.0,5.0,2.0,300.0,436.0,AVAILABLE,loc-505,agent-026
"Rumah Eksklusif Kaca Cantik & Sejuk.sirkulasi Bagus., Bebas Banjir Lingkungan Tenang#Jualcepat. 2 Lantai SHM",8500000000.0,jakarta selatan,cilandak,5.0,6.0,4.0,502.0,250.0,AVAILABLE,loc-101,agent-006
